iter	Accuracy	Logloss
0	0.8305274972	0.6687461173
1	0.8372615039	0.6467296549
2	0.8316498316	0.6276214318
3	0.8338945006	0.6094505536
4	0.835016835	0.5939222274
5	0.835016835	0.5789424286
6	0.835016835	0.5690867869
7	0.8338945006	0.5621846792
8	0.8327721661	0.5504847489
9	0.8316498316	0.5398421978
10	0.8327721661	0.5314674723
11	0.8316498316	0.5228546552
12	0.8316498316	0.5145495637
13	0.8305274972	0.5082956762
14	0.8305274972	0.5011554527
15	0.8305274972	0.4938201655
16	0.8305274972	0.4869717112
17	0.8316498316	0.4811813172
18	0.8305274972	0.4748441588
19	0.8316498316	0.4705373808
20	0.8316498316	0.466168195
21	0.8305274972	0.4624072616
22	0.8305274972	0.4581166102
23	0.8316498316	0.4536263832
24	0.8305274972	0.4492742168
25	0.8305274972	0.4459535413
26	0.8305274972	0.4437862028
27	0.8305274972	0.4400020089
28	0.8305274972	0.4372016578
29	0.8305274972	0.4353662591
30	0.8305274972	0.4325333343
31	0.8305274972	0.4305908858
32	0.8305274972	0.4287836275
33	0.8305274972	0.426871576
34	0.8327721661	0.4249304933
35	0.8327721661	0.4219709003
36	0.8327721661	0.4199387964
37	0.8305274972	0.4183575668
38	0.8305274972	0.4170820674
39	0.8316498316	0.4149452874
40	0.8316498316	0.4130778196
41	0.8316498316	0.412237754
42	0.8327721661	0.4109171626
43	0.8327721661	0.4097741663
44	0.8338945006	0.4085879999
45	0.8327721661	0.407429624
46	0.8338945006	0.4061059159
47	0.8338945006	0.4052624853
48	0.8327721661	0.4041648123
49	0.8327721661	0.4032646028
50	0.8327721661	0.4030567333
51	0.8327721661	0.4026058256
52	0.8327721661	0.4017779827
53	0.8327721661	0.4009374552
54	0.8327721661	0.4001172301
55	0.8327721661	0.3988546321
56	0.8327721661	0.3983975911
57	0.8316498316	0.397331972
58	0.8316498316	0.3968623012
59	0.8316498316	0.3967059914
60	0.8316498316	0.3960873035
61	0.8327721661	0.3946132631
62	0.8327721661	0.3938296882
63	0.8327721661	0.3928809792
64	0.8327721661	0.3923825822
65	0.8338945006	0.3916753193
66	0.8338945006	0.3911446343
67	0.8338945006	0.3900224408
68	0.8338945006	0.3893349076
69	0.8338945006	0.3887722451
70	0.8338945006	0.3880475501
71	0.8338945006	0.3876907283
72	0.8338945006	0.3873106785
73	0.8338945006	0.3870240981
74	0.8338945006	0.3863074226
75	0.8338945006	0.3860741713
76	0.8338945006	0.3854544528
77	0.8338945006	0.3850316381
78	0.835016835	0.384542992
79	0.835016835	0.38426701
80	0.835016835	0.3840268598
81	0.835016835	0.3838982938
82	0.835016835	0.3835835073
83	0.835016835	0.3833836373
84	0.835016835	0.3830599179
85	0.835016835	0.3829018388
86	0.835016835	0.3825034693
87	0.835016835	0.3823513696
88	0.8361391695	0.3814418678
89	0.8383838384	0.3807880838
90	0.8395061728	0.3800587891
91	0.8406285073	0.3790216167
92	0.8406285073	0.378588102
93	0.8406285073	0.3780756852
94	0.8406285073	0.3775345629
95	0.8406285073	0.3772671213
96	0.8406285073	0.3766337097
97	0.8417508418	0.37631469
98	0.8406285073	0.3761651279
99	0.8406285073	0.3754573208
100	0.8428731762	0.3752277724
101	0.8439955107	0.3748872614
102	0.8439955107	0.3747093354
103	0.8439955107	0.3741616973
104	0.8439955107	0.3738404557
105	0.8451178451	0.3731691147
106	0.847362514	0.3726474889
107	0.847362514	0.3722917192
108	0.847362514	0.3722913529
109	0.847362514	0.3722845178
110	0.847362514	0.3721305251
111	0.847362514	0.3721302369
112	0.847362514	0.3718044851
113	0.847362514	0.371531081
114	0.847362514	0.3712275936
115	0.8462401796	0.3710998138
116	0.8462401796	0.3707060236
117	0.847362514	0.3703366737
118	0.847362514	0.3701463654
119	0.847362514	0.3699235485
120	0.847362514	0.3695229046
121	0.8484848485	0.3689686354
122	0.8462401796	0.3688505406
123	0.8462401796	0.3685567858
124	0.847362514	0.3682709338
125	0.847362514	0.3679624059
126	0.8462401796	0.3673521672
127	0.8462401796	0.3672393381
128	0.8462401796	0.3669603677
129	0.847362514	0.366659616
130	0.8484848485	0.3666023693
131	0.847362514	0.366538901
132	0.8484848485	0.36645276
133	0.847362514	0.3660877404
134	0.8484848485	0.3657896288
135	0.8484848485	0.3654217745
136	0.8484848485	0.3652470523
137	0.8484848485	0.3648998998
138	0.8484848485	0.3644455227
139	0.8462401796	0.3641328417
140	0.847362514	0.3638362267
141	0.8484848485	0.3636804312
142	0.847362514	0.3634119731
143	0.847362514	0.3633701632
144	0.847362514	0.3633251353
145	0.8462401796	0.3630960294
146	0.8496071829	0.3628250704
147	0.8496071829	0.3627637396
148	0.8484848485	0.3627159356
149	0.8496071829	0.3626609396
150	0.8496071829	0.3621002297
151	0.8496071829	0.3621001917
152	0.8507295174	0.3613865379
153	0.8507295174	0.3612972938
154	0.8507295174	0.361029204
155	0.8507295174	0.3607881562
156	0.8518518519	0.3605401268
157	0.8529741863	0.360127255
158	0.8529741863	0.3598713094
159	0.8529741863	0.3598712991
160	0.8529741863	0.3596111607
161	0.8518518519	0.3595084873
162	0.8518518519	0.3594830474
163	0.8529741863	0.3592514921
164	0.8529741863	0.3592263126
165	0.8529741863	0.3591275359
166	0.8529741863	0.3590304776
167	0.8540965208	0.3587425752
168	0.8540965208	0.3586613313
169	0.8540965208	0.3586031873
170	0.8552188552	0.3582546005
171	0.8540965208	0.3579119582
172	0.8540965208	0.3578905314
173	0.8540965208	0.3576621284
174	0.8540965208	0.3575654485
175	0.8540965208	0.3574247388
176	0.8552188552	0.357111068
177	0.8552188552	0.3570779416
178	0.8540965208	0.3567406712
179	0.8540965208	0.3562935815
180	0.8540965208	0.356223288
181	0.8540965208	0.3559105953
182	0.8540965208	0.355604702
183	0.8540965208	0.3554556356
184	0.8529741863	0.3551668045
