iter	Passed	Remaining
0	2	1105
1	4	1087
2	6	1029
3	7	985
4	9	972
5	12	1024
6	14	1007
7	15	946
8	17	964
9	19	969
10	21	976
11	23	965
12	25	956
13	27	941
14	29	941
15	30	930
16	32	936
17	35	956
18	37	944
19	39	941
20	41	937
21	42	925
22	44	916
23	45	909
24	47	905
25	49	897
26	50	890
27	52	889
28	54	889
29	56	888
30	58	884
31	60	885
32	62	890
33	64	886
34	66	882
35	68	878
36	69	872
37	71	869
38	73	872
39	75	872
40	77	867
41	79	863
42	81	862
43	83	863
44	85	860
45	86	857
46	88	854
47	90	850
48	92	847
49	94	850
50	96	846
51	98	845
52	100	844
53	102	843
54	103	841
55	106	840
56	107	835
57	109	833
58	111	830
59	112	825
60	114	824
61	116	824
62	118	821
63	120	819
64	122	817
65	124	816
66	125	813
67	127	811
68	129	809
69	131	806
70	133	807
71	136	808
72	137	806
73	139	804
74	141	803
75	143	802
76	145	800
77	147	798
78	149	796
79	151	794
80	152	791
81	154	789
82	157	790
83	158	787
84	160	785
85	162	784
86	164	781
87	166	777
88	167	775
89	169	773
90	171	770
91	173	767
92	175	768
93	178	769
94	179	767
95	181	764
96	183	762
97	185	760
98	187	758
99	189	756
100	190	754
101	192	752
102	194	750
103	197	751
104	199	749
105	201	747
106	202	745
107	205	744
108	206	740
109	207	736
110	209	734
111	210	730
112	213	730
113	215	728
114	217	727
115	219	725
116	220	723
117	222	721
118	225	720
119	227	719
120	228	716
121	230	714
122	232	711
123	234	709
124	235	707
125	238	707
126	241	708
127	242	705
128	244	704
129	246	702
130	248	699
131	250	697
132	252	695
133	253	692
134	255	691
135	258	691
136	260	689
137	262	687
138	263	685
139	265	683
140	267	681
141	269	679
142	272	679
143	273	677
144	275	675
145	277	673
146	280	672
147	281	670
148	283	668
149	285	666
150	288	665
151	289	662
152	291	660
153	292	657
154	294	656
155	296	654
156	298	653
157	301	652
158	303	650
159	304	646
160	306	644
161	308	642
162	310	641
163	311	639
164	313	636
165	315	634
166	316	631
167	318	629
168	365	715
169	370	719
170	374	721
171	377	720
172	380	719
173	383	718
174	385	716
175	389	716
176	392	715
177	394	713
178	396	711
179	399	709
180	404	713
181	408	714
182	412	714
183	416	715
184	420	715
185	423	715
186	425	712
187	427	709
188	429	706
189	431	703
190	433	700
191	435	698
192	437	696
193	439	693
194	441	690
195	443	687
196	445	684
197	447	681
198	448	678
199	450	675
200	452	672
201	454	670
202	457	669
203	459	666
204	461	664
205	463	662
206	465	659
207	466	655
208	469	653
209	471	651
210	474	649
211	476	647
212	478	644
213	480	642
214	482	639
215	484	636
216	485	633
217	487	631
218	489	628
219	492	626
220	494	624
221	496	621
222	498	618
223	500	616
224	501	613
225	503	610
226	505	607
227	506	604
228	508	601
229	510	599
230	512	597
231	514	594
232	516	591
233	518	589
234	520	586
235	522	584
236	523	581
237	525	578
238	528	576
239	530	574
240	532	572
241	534	570
242	536	567
243	538	565
244	540	562
245	542	560
246	544	557
247	547	556
248	549	553
249	551	551
250	553	549
251	555	546
252	557	544
253	559	541
254	560	538
255	562	536
256	565	534
257	567	532
258	569	529
259	571	527
260	573	524
261	574	522
262	576	519
263	578	516
264	579	514
265	581	511
266	583	509
267	585	507
268	587	504
269	589	502
270	591	499
271	593	497
272	595	494
273	597	492
274	599	490
275	600	487
276	603	485
277	605	483
278	607	481
279	609	478
280	611	476
281	613	473
282	615	471
283	616	469
284	618	466
285	620	464
286	623	462
287	625	460
288	627	458
289	629	455
290	631	453
291	633	450
292	634	448
293	636	445
294	638	443
295	640	441
296	643	439
297	645	437
298	647	434
299	648	432
300	650	429
301	652	427
302	653	425
303	656	422
304	658	420
305	660	418
306	662	416
307	664	414
308	666	411
309	667	409
310	669	406
311	671	404
312	673	402
313	675	400
314	678	398
315	680	396
316	682	393
317	685	392
318	687	390
319	689	387
320	691	385
321	693	383
322	695	380
323	697	378
324	700	377
325	702	374
326	703	372
327	705	370
328	707	367
329	709	365
330	711	363
331	714	361
332	716	359
333	719	357
334	721	355
335	724	353
336	726	351
337	728	349
338	730	347
339	733	345
340	735	343
341	738	340
342	740	338
343	742	336
344	744	334
345	746	332
346	748	330
347	750	327
348	753	326
349	756	324
350	758	321
351	760	319
352	762	317
353	764	315
354	766	313
355	768	310
356	770	308
357	772	306
358	774	304
359	776	302
360	778	299
361	780	297
362	782	295
363	785	293
364	787	291
365	789	289
366	791	286
367	794	284
368	797	283
369	800	281
370	803	279
371	805	277
372	807	274
373	809	272
374	812	270
375	814	268
376	817	266
377	819	264
378	822	262
379	824	260
380	825	257
381	828	255
382	830	253
383	833	251
384	836	249
385	838	247
386	840	245
387	842	243
388	845	241
389	847	239
390	850	237
391	853	235
392	854	232
393	856	230
394	858	228
395	861	226
396	863	223
397	865	221
398	867	219
399	869	217
400	872	215
401	875	213
402	877	211
403	880	209
404	881	206
405	884	204
406	886	202
407	888	200
408	890	198
409	892	195
410	894	193
411	896	191
412	898	189
413	900	187
414	902	184
415	904	182
416	908	180
417	910	178
418	912	176
419	914	174
420	916	172
421	918	169
422	920	167
423	922	165
424	925	163
425	927	161
426	929	158
427	931	156
428	933	154
429	934	152
430	936	149
431	938	147
432	941	145
433	943	143
434	947	141
435	949	139
436	951	137
437	953	134
438	955	132
439	957	130
440	959	128
441	961	126
442	963	124
443	965	121
444	968	119
445	970	117
446	972	115
447	974	113
448	976	110
449	978	108
450	981	106
451	983	104
452	985	102
453	988	100
454	990	97
455	992	95
456	994	93
457	996	91
458	998	89
459	1001	87
460	1003	84
461	1005	82
462	1007	80
463	1009	78
464	1011	76
465	1013	73
466	1016	71
467	1018	69
468	1020	67
469	1023	65
470	1025	63
471	1027	60
472	1030	58
473	1033	56
474	1035	54
475	1037	52
476	1039	50
477	1041	47
478	1044	45
479	1046	43
480	1048	41
481	1051	39
482	1054	37
483	1057	34
484	1059	32
485	1061	30
486	1064	28
487	1067	26
488	1071	24
489	1073	21
490	1077	19
491	1079	17
492	1082	15
493	1084	13
494	1087	10
495	1089	8
496	1091	6
497	1093	4
498	1096	2
499	1099	0
